Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
ALL,0.9152421652421653,0.8476253298153035,0.6031195840554593,0.8801369863013699,0.9152421652421653,0.8476253298153035,0.6031195840554593,0.8801369863013699,1285,348,119,231,1404,11174809700,00:00:11
CLASSES,0.9152421652421653,0.8476253298153035,0.6031195840554593,0.8801369863013699,0.9152421652421653,0.8476253298153035,0.6031195840554593,0.8801369863013699,1285,348,119,231,1404,-,-
PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
