Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,ALL,0.9549783549783549,0.7275725593667546,0.2876949740034662,0.8259078996630476,1103,52,413,1155,4417084400,00:00:04
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.9566348655680833,0.7275725593667546,0.2876949740034662,0.8265267890595729,1103,50,413,1153,-,-
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-,-
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
